state,size,vs_a,vs_b,vs_c,hs_a,hs_b,hs_c,party_a,party_b,party_c,ind,abs
AL,34,0.1,0.0,0.0,0,0,0,0.1,0.5,0.1,0,0
AK,8,0.0,0.0,0.0,0,0,0,0.0,0.2,0.0,1,1
AZ,19,0.8,0.0,0.1,1,0,0,0.6,0.0,0.1,0,0
AR,5,0.6,0.0,0.0,0,0,0,0.4,0.2,0.0,1,0
CA,8,0.4,0.0,0.0,0,0,0,0.1,0.3,0.1,1,1
CO,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1
CT,4,0.3,0.3,0.0,0,1,0,0.0,0.0,0.3,0,1
DE,1,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0
FL,44,0.3,0.2,0.1,0,0,0,0.3,0.4,0.1,1,0
GA,27,0.4,0.0,0.1,0,0,0,0.5,0.3,0.0,1,0
HI,3,0.0,0.0,0.0,0,0,0,0.0,0.7,0.0,1,0
ID,9,0.4,0.0,0.1,0,0,0,0.2,0.4,0.1,1,0
IL,11,0.5,0.0,0.1,0,0,0,0.4,0.4,0.0,1,0
IN,8,0.4,0.0,0.3,0,0,1,0.3,0.1,0.5,1,0
IA,11,0.3,0.0,0.1,0,0,0,0.6,0.1,0.1,1,0
KS,2,0.0,0.0,0.5,0,0,0,0.0,0.0,0.5,1,1
KY,9,0.2,0.4,0.0,0,0,0,0.1,0.1,0.7,1,0
LA,9,0.2,0.3,0.0,0,0,0,0.3,0.0,0.0,1,1
ME,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,1
MD,4,0.0,0.3,0.0,0,0,0,0.3,0.0,0.0,1,0
MI,22,0.8,0.0,0.1,0,0,0,0.7,0.0,0.0,1,0
MN,4,0.5,0.3,0.3,0,0,0,0.3,0.0,0.0,0,1
MS,15,0.2,0.1,0.1,0,0,0,0.4,0.1,0.3,1,0
MO,29,0.1,0.1,0.0,0,0,0,0.2,0.2,0.1,0,0
MT,2,0.0,0.5,0.0,0,0,0,0.0,0.0,0.5,1,1
NE,4,0.3,0.3,0.0,0,0,0,0.3,0.3,0.0,1,0
NV,11,0.0,0.3,0.0,0,0,0,0.1,0.6,0.0,0,0
NH,6,0.2,0.2,0.7,0,0,0,0.0,0.0,0.0,1,1
NM,6,0.2,0.0,0.2,0,0,0,0.4,0.4,0.0,0,0
NY,10,0.0,0.1,0.3,0,0,0,0.0,0.2,0.6,1,0
NC,22,0.2,0.0,0.0,0,0,0,0.5,0.2,0.0,1,0
ND,3,0.3,0.0,0.7,0,0,0,0.0,0.0,0.3,0,1
OH,5,0.4,0.4,0.0,0,0,0,0.0,0.0,0.2,1,1
OK,25,0.3,0.6,0.0,0,1,0,0.3,0.2,0.2,1,0
OR,2,0.5,0.5,0.0,0,0,0,0.5,0.0,0.0,1,0
PA,3,0.0,1.0,0.0,0,0,0,0.0,0.0,0.3,1,1
SC,6,0.8,0.0,0.0,0,0,0,0.3,0.2,0.0,1,0
SD,8,0.5,0.0,0.0,0,0,0,0.3,0.2,0.3,1,0
TN,21,0.1,0.2,0.3,0,0,1,0.3,0.3,0.2,1,0
TX,31,0.5,0.1,0.0,0,0,0,0.4,0.4,0.0,1,0
UT,4,0.8,0.0,0.0,0,0,0,0.5,0.0,0.0,0,1
VT,2,0.5,0.0,0.5,0,0,0,0.0,0.0,0.5,1,1
VA,14,0.7,0.1,0.0,1,0,0,0.5,0.1,0.0,0,0
WA,3,0.0,0.0,0.3,0,0,0,0.3,0.0,0.0,1,1
WV,6,0.0,0.2,0.0,0,0,0,0.5,0.0,0.2,1,0
WI,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,1,1
WY,4,0.8,0.0,0.0,0,0,0,0.0,0.3,0.0,0,1
AL,34,0.063,0.031,0.125,0,0,1,0.125,0.469,0.125,0.38,0.25
AK,8,0.0,0.0,0.167,0,0,0,0.0,0.167,0.0,0.5,0.83
AZ,19,0.778,0.0,0.0,1,0,0,0.556,0.0,0.111,0.11,0.22
AR,5,0.6,0.0,0.2,0,0,0,0.4,0.2,0.0,0.8,0
CA,8,0.375,0.0,0.0,0,0,0,0.125,0.3,0.125,0.63,0.5
CO,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1
CT,4,0.3,0.3,0.0,0,1,0,0.0,0.0,0.3,0.25,0.5
DE,1,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0
